ms,valve_a_pct,valve_b_pct,q_des,q_des_csv,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
7533,96.26995449936778,26.16731489530259,12.089951536909208,34.95623465345913,34.95623465345913,,3946,4.818070818070818,572.8470695970695,1697,2.0720390720390722,163.00183150183153,2.573812685396394,2.632536704370347,44.736328125
7567,95.71617239981478,25.679367075176568,12.089951536909208,35.59569383605553,35.59569383605553,,3976,4.854700854700854,578.3141025641025,1663,2.0305250305250304,156.8058608058608,2.564864769693309,2.6056818473759074,45.703125
7600,95.24825756450414,25.527462966846276,12.089951536909208,35.9379400671798,35.9379400671798,,3987,4.868131868131868,580.3186813186812,1643,2.006105006105006,153.16117216117215,2.564864769693309,2.594343810322559,46.40625
7634,94.23803218953154,25.981977224334273,12.089951536909208,35.81186265420052,35.81186265420052,,3993,4.875457875457875,581.4120879120878,1643,2.006105006105006,153.16117216117215,2.5497735732655755,2.594343810322559,46.669921875
7667,92.03426903282448,27.345050882075682,12.089951536909208,35.365523516907146,35.365523516907146,,3977,4.8559218559218555,578.4963369963369,1647,2.010989010989011,153.89010989010987,2.5501723519840427,2.5697815924116014,46.58203125
7700,90.50329123843576,29.227819724148414,12.089951536909208,35.02558127801003,35.02558127801003,,3937,4.807081807081807,571.2069597069597,1646,2.0097680097680097,153.70787545787545,2.5431242239155183,2.585617638698656,46.494140625
7733,87.00864330952625,32.046984577688654,12.089951536909208,34.65851002654882,34.65851002654882,,3853,4.704517704517705,555.8992673992674,1680,2.051282051282051,159.90384615384613,2.5431242239155183,2.551046557241355,46.318359375
7767,83.71334178278185,34.61962648562898,12.089951536909208,32.93819042031774,32.93819042031774,,3766,4.598290598290598,540.0448717948717,1777,2.16971916971917,177.5805860805861,2.548340183249524,2.551046557241355,44.912109375
7800,80.44035058939272,38.543065630066216,12.115749732382712,29.999956149214377,29.999956149214377,,3661,4.47008547008547,520.9102564102565,1877,2.2918192918192917,195.80402930402926,2.5589690670166365,2.5653337613978855,42.275390625
7834,76.45499708379859,42.763631139995425,23.64718446129224,27.859995496933138,27.859995496933138,,3541,4.323565323565324,499.0421245421246,1991,2.431013431013431,216.57875457875457,2.594097208229797,2.6001316262626775,40.078125
7867,74.27413795298207,45.66291896599207,23.64718446129224,25.67743318916574,25.67743318916574,,3456,4.21978021978022,483.55219780219784,2064,2.52014652014652,229.88186813186812,2.594097208229797,2.639212134028893,37.705078125
7900,72.24473203084368,48.60760458434149,23.64718446129224,22.827379501856836,22.827379501856836,,3379,4.125763125763125,469.52014652014645,2146,2.6202686202686203,244.8250915750916,2.637390861017919,2.639212134028893,34.62890625
7933,71.84906366658691,49.947435243482786,23.64718446129224,20.97201944408377,20.97201944408377,,3281,4.006105006105006,451.66117216117215,2218,2.708180708180708,257.94597069597063,2.6564216706638217,2.683290201879644,32.255859375
7967,69.14017818126072,50.279509210442164,23.64718446129224,19.37713742774934,19.37713742774934,,3200,3.907203907203907,436.9001831501831,2307,2.8168498168498166,274.16483516483515,2.688591067891242,2.695670812545606,30.05859375
8000,68.09467455058716,51.68968212794688,23.64718446129224,18.010852827242857,18.010852827242857,,3126,3.8168498168498166,423.41483516483515,2362,2.8840048840048835,284.1877289377289,2.688591067891242,2.7298275851087097,28.037109375
8033,66.73496603848734,53.6766136311426,23.64718446129224,16.547042198934022,16.547042198934022,,3047,3.7203907203907205,409.01831501831504,2429,2.965811965811966,296.3974358974359,2.6967194136418366,2.7298275851087097,25.927734375
8067,66.02729579273418,54.547260960715214,23.64718446129224,15.199213212974733,15.199213212974733,,2983,3.642246642246642,397.3553113553113,2486,3.0354090354090353,306.7847985347985,2.7161927985713272,2.737604592431072,23.90625
8100,65.93803562575664,54.885927221793,23.64718446129224,13.651817189682019,13.651817189682019,,2959,3.612942612942613,392.98168498168496,2554,3.1184371184371185,319.1767399267399,2.7257090148218794,2.730956205882796,21.708984375
8134,68.02868601596523,52.660841675696524,23.64718446129224,13.441366231642007,13.441366231642007,,2948,3.5995115995115996,390.9771062271062,2598,3.172161172161172,327.1950549450549,2.7521303010668663,2.7848920947134217,20.654296875
8167,69.4968096581552,51.12915303021956,23.64718446129224,13.916579796779986,13.916579796779986,,2980,3.6385836385836385,396.808608058608,2616,3.194139194139194,330.4752747252747,2.7521303010668663,2.7848920947134217,20.302734375
8200,70.13184248684486,50.65269232392111,23.64718446129224,14.917745740602479,14.917745740602479,,2964,3.619047619047619,393.89285714285717,2601,3.1758241758241756,327.7417582417582,2.764825343597528,2.787754272992444,20.56640625
8233,71.04677959753813,49.6912334976265,23.64718446129224,15.701809319442269,15.701809319442269,,2997,3.659340659340659,399.90659340659334,2543,3.105006105006105,317.17216117216117,2.7580727817319177,2.785471578453103,20.830078125
8267,72.5382242490291,47.113632440965496,23.64718446129224,17.946783094334243,17.946783094334243,,3052,3.7264957264957266,409.9294871794872,2495,3.0463980463980462,308.4249084249084,2.7580727817319177,2.7861034455015017,22.5
8300,74.23897330774896,46.30196011906407,23.64718446129224,20.700689007161213,20.700689007161213,,3102,3.7875457875457874,419.04120879120876,2430,2.967032967032967,296.57967032967036,2.7430156838542277,2.7861034455015017,24.873046875
8333,75.31931737158342,44.45693732360709,23.64718446129224,21.614340204586803,21.614340204586803,,3177,3.879120879120879,432.7087912087912,2354,2.874236874236874,282.72985347985343,2.7381692246635168,2.7769918851130577,25.927734375
8367,77.57332921835062,44.63639393822344,23.6665100014669,23.48720919208146,23.48720919208146,,3215,3.9255189255189253,439.63369963369956,2320,2.8327228327228324,276.53388278388275,2.719018174359055,2.7698519130027086,27.861328125
8400,78.42334023671687,44.003842985111106,24.531827162033636,24.794284814253746,24.794284814253746,,3262,3.9829059829059825,448.19871794871784,2274,2.7765567765567765,268.1510989010989,2.710865246541269,2.759419941497347,29.443359375
