ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
3833,99.44173480801378,20.7002545605852,33.989609501327244,33.989609501327244,,4077,4.978021978021978,596.7197802197802,1487,1.8156288156288156,124.73260073260073,2.53565224127871,2.580104158281903,43.681640625
3867,98.8565267833878,20.60102108167372,34.19150963055965,34.19150963055965,,4095,5.0,600.0,1473,1.7985347985347986,122.18131868131869,2.5305979965099556,2.5652564723282305,44.208984375
3900,97.7491847775011,20.989135304665098,34.02539604690642,34.02539604690642,,4095,5.0,600.0,1469,1.7936507936507937,121.45238095238096,2.5305979965099556,2.5559370243997312,44.384765625
3934,97.01653460505007,21.166912475070482,33.531465455454025,33.531465455454025,,4095,5.0,600.0,1483,1.8107448107448108,124.00366300366301,2.529022173983646,2.5559370243997312,44.208984375
3967,97.11425463749144,21.437091961847806,33.36664386855021,33.36664386855021,,4095,5.0,600.0,1487,1.8156288156288156,124.73260073260073,2.5247652590381957,2.5602088117574824,44.208984375
4000,97.0220263025749,21.496047980742205,33.24980370713853,33.24980370713853,,4095,5.0,600.0,1489,1.818070818070818,125.09706959706959,2.5264832632452814,2.558145900707911,44.208984375
4033,96.31563308599831,22.247471582271665,33.16418254730421,33.16418254730421,,4079,4.9804639804639805,597.0842490842491,1494,1.8241758241758241,126.00824175824174,2.5264832632452814,2.556801401343669,44.208984375
4067,95.07348364184433,23.492741278143114,32.995043358632714,32.995043358632714,,4047,4.941391941391942,591.2527472527472,1497,1.8278388278388278,126.55494505494505,2.527016920745943,2.556801401343669,44.12109375
4100,92.9687121470981,25.397569724746955,32.43821363515774,32.43821363515774,,4007,4.892551892551892,583.9633699633698,1532,1.8705738705738706,132.9331501831502,2.5225422266375133,2.5513953116345807,43.681640625
4134,89.24664106407492,28.328624577229387,30.917736555057637,30.917736555057637,,3935,4.8046398046398044,570.8424908424909,1599,1.9523809523809523,145.14285714285714,2.5392278835167557,2.546164308092339,42.36328125
4167,85.88037534086871,32.12211683567613,28.748256551687085,28.748256551687085,,3852,4.7032967032967035,555.717032967033,1701,2.076923076923077,163.73076923076925,2.5392278835167557,2.5673361080562183,40.341796875
4200,82.6893533446998,35.84227576342393,26.49272026208098,26.49272026208098,,3734,4.559218559218559,534.2133699633699,1796,2.192918192918193,181.04304029304032,2.557368760954866,2.587060943044918,38.056640625
4233,79.48374150517193,38.90282650201843,23.70810921177465,23.70810921177465,,3646,4.451770451770452,518.17673992674,1911,2.3333333333333335,202.0,2.586426934491772,2.587060943044918,35.15625
4267,77.95695736050733,42.26029183390402,20.836967458050843,20.836967458050843,,3550,4.334554334554335,500.68223443223445,2005,2.448107448107448,219.13003663003659,2.622170738736348,2.6262658398718077,31.9921875
4300,76.98424981852452,44.354539935564105,18.778804996946803,18.778804996946803,,3464,4.22954822954823,485.0100732600732,2097,2.5604395604395602,235.89560439560435,2.622170738736348,2.6587088726696226,29.35546875
4333,75.99475016050302,45.656409133152145,16.684726070309758,16.684726070309758,,3381,4.128205128205128,469.8846153846153,2178,2.659340659340659,250.65659340659334,2.6607142224226896,2.6826922368149106,26.630859375
4367,73.70824501571079,46.555910646722396,14.448369343268983,14.448369343268983,,3299,4.028083028083028,454.94139194139194,2246,2.7423687423687424,263.0485347985348,2.6888889122643977,2.6826922368149106,23.73046875
4400,72.38455936242686,46.66251064193051,12.695889758859476,12.695889758859476,,3236,3.951159951159951,443.46062271062266,2332,2.847374847374847,278.72069597069594,2.7100375238306813,2.705972575819308,21.181640625
4433,71.73132025876961,47.923404827563424,11.565617227597992,11.565617227597992,,3170,3.8705738705738706,431.43315018315013,2366,2.8888888888888884,284.9166666666666,2.7100375238306813,2.731071808539322,19.16015625
4467,72.28397641444036,47.51922527518215,10.777356862840612,10.777356862840612,,3156,3.8534798534798536,428.88186813186815,2391,2.9194139194139197,289.4725274725275,2.730990287177889,2.7313681410324664,17.490234375
4500,73.13891740725386,46.43175809348531,11.434038656724564,11.434038656724564,,3156,3.8534798534798536,428.88186813186815,2399,2.9291819291819294,290.930402930403,2.7342043155178923,2.7313681410324664,17.138671875
4533,74.12468855130767,45.20206790479151,12.448620904292847,12.448620904292847,,3163,3.862026862026862,430.15750915750914,2404,2.9352869352869355,291.8415750915751,2.7406921684251695,2.73833753858316,17.314453125
4567,74.23763962806153,45.10976190726858,13.096599754122781,13.096599754122781,,3165,3.8644688644688645,430.521978021978,2411,2.943833943833944,293.1172161172161,2.74205225185288,2.736902282112703,17.40234375
4600,74.52502986736722,44.77933073709319,13.462487336503408,13.462487336503408,,3176,3.877899877899878,432.5265567765568,2389,2.9169719169719173,289.1080586080587,2.74205225185288,2.7368035582443144,17.40234375
4633,75.48865642164209,43.80181705189838,14.748082526802673,14.748082526802673,,3193,3.8986568986568986,435.6245421245421,2350,2.869352869352869,282.0009157509157,2.7369888431598173,2.7368035582443144,18.28125
4667,77.73039343208694,43.16776568261054,16.54972872027225,16.54972872027225,,3227,3.94017094017094,441.82051282051276,2294,2.800976800976801,271.79578754578756,2.728836283916021,2.735899428387689,19.775390625
4700,78.82883583629697,42.240210589690705,17.902785177593653,17.902785177593653,,3274,3.9975579975579976,450.38553113553115,2262,2.761904761904762,265.9642857142857,2.721732637872866,2.7226467164191392,21.09375
4733,80.86794679350248,40.455708059425696,19.006693706997712,19.006693706997712,,3346,4.085470085470085,463.5064102564102,2240,2.735042735042735,261.95512820512823,2.721732637872866,2.72133967828058,22.32421875
4767,83.34072886597835,38.38187512198142,20.022466094766823,20.022466094766823,,3402,4.153846153846154,473.7115384615385,2181,2.663003663003663,251.20329670329667,2.7194321402349346,2.72133967828058,23.5546875
4800,85.82441115564464,36.732277021017076,20.978430410777474,20.978430410777474,,3456,4.21978021978022,483.55219780219784,2131,2.601953601953602,242.0915750915751,2.7080696955235135,2.7196835554781145,24.78515625
4833,88.03506837926447,35.22723147287453,22.848120840963368,22.848120840963368,,3497,4.26984126984127,491.02380952380946,2076,2.5347985347985347,232.0686813186813,2.6904203073872233,2.739467431408338,26.806640625
4867,88.90396654217245,33.93843483751922,24.03894193758936,24.03894193758936,,3535,4.316239316239317,497.948717948718,2007,2.4505494505494503,219.49450549450543,2.6904203073872233,2.726770751631254,28.388671875
4900,91.0868407900848,32.07360864228755,25.094508185205143,25.094508185205143,,3601,4.396825396825397,509.9761904761905,1950,2.380952380952381,209.10714285714286,2.6708534796529158,2.726770751631254,29.8828125
4933,91.08588052168042,32.49102431584617,26.148146209934957,26.148146209934957,,3628,4.42979242979243,514.8965201465202,1893,2.3113553113553116,198.71978021978023,2.6395923990289725,2.711077664914252,31.376953125
4967,91.01118728897512,32.34743287457324,27.523939456037787,27.523939456037787,,3663,4.472527472527473,521.2747252747253,1862,2.2735042735042734,193.0705128205128,2.6254175164322002,2.681526630337285,33.134765625
5000,91.931310933455,30.920336492688705,27.89568991753057,27.89568991753057,,3723,4.545787545787546,532.2087912087911,1853,2.2625152625152625,191.43040293040292,2.6254175164322002,2.663788246444495,34.1015625
5033,94.2179043392265,28.939505383245855,27.41179003643438,27.41179003643438,,3782,4.617826617826618,542.9606227106227,1838,2.244200244200244,188.69688644688645,2.625663532773989,2.663788246444495,34.27734375
5067,96.20628749391867,27.030696021508987,28.42578371816073,28.42578371816073,,3817,4.660561660561661,549.3388278388278,1781,2.174603174603175,178.30952380952382,2.6159059113464465,2.677025248987124,35.5078125
5100,97.49001642705244,25.973638446304992,29.92928645619275,29.92928645619275,,3853,4.704517704517705,555.8992673992674,1728,2.10989010989011,168.65109890109892,2.6074392889796454,2.664942157052722,37.177734375
5133,97.98531046854994,24.582642550083335,30.57834052287837,30.57834052287837,,3906,4.769230769230769,565.5576923076923,1688,2.061050061050061,161.36172161172158,2.6074392889796454,2.629589271354112,38.232421875
5167,96.36972005271124,25.19246836953148,31.051173824229945,31.051173824229945,,3919,4.785103785103785,567.92673992674,1634,1.9951159951159951,151.52106227106228,2.5771662084356755,2.609114068374393,39.111328125
5200,97.5827842271785,24.191666758527116,32.110314294714826,32.110314294714826,,3962,4.837606837606837,575.7628205128204,1613,1.9694749694749694,147.69413919413918,2.557127411835412,2.609114068374393,40.4296875
5233,96.78768844121217,23.16357364542144,31.959652682787276,31.959652682787276,,3996,4.879120879120879,581.9587912087911,1613,1.9694749694749694,147.69413919413918,2.5678644255823726,2.5828829078958155,40.78125
5267,97.8150865612418,22.19715444773394,31.414732781736163,31.414732781736163,,4013,4.899877899877899,585.0567765567764,1580,1.9291819291819292,141.68040293040292,2.5678644255823726,2.600324459012541,40.693359375
5300,97.64671969643545,22.9781595809076,32.51358889081708,32.51358889081708,,4018,4.905982905982905,585.9679487179486,1553,1.8962148962148961,136.76007326007326,2.546467828395581,2.5775204737037223,41.8359375
5333,96.80059782101304,22.744211181853842,32.45761320730134,32.45761320730134,,4026,4.915750915750915,587.4258241758241,1535,1.8742368742368742,133.47985347985346,2.5446192142518056,2.5775204737037223,42.099609375
5367,95.37636960727787,23.450951744101715,32.16415985980644,32.16415985980644,,4028,4.918192918192918,587.7902930402929,1544,1.8852258852258852,135.1199633699634,2.536065708501608,2.5659280115627205,42.099609375
5402,95.00448637436504,23.948263071719865,31.96399159693355,31.96399159693355,,4017,4.904761904761904,585.7857142857141,1539,1.879120879120879,134.2087912087912,2.536065708501608,2.567933713749079,42.099609375
5433,95.79299140813418,23.100332465778,31.824927634357927,31.824927634357927,,4041,4.934065934065934,590.1593406593407,1549,1.8913308913308913,136.03113553113553,2.535403934822897,2.568030021959777,42.099609375
5467,95.64695341066442,23.272586150938153,31.72607409747608,31.72607409747608,,4038,4.930402930402931,589.6126373626373,1550,1.8925518925518925,136.21336996336993,2.535765419596045,2.568030021959777,42.099609375
5500,95.50162880520341,23.317307822947793,31.549802620647355,31.549802620647355,,4038,4.930402930402931,589.6126373626373,1548,1.89010989010989,135.84890109890108,2.535827231342245,2.5676749122764946,42.01171875
5533,94.4130833971945,24.60222949986007,31.50842695514124,31.50842695514124,,4009,4.8949938949938945,584.3278388278387,1555,1.8986568986568986,137.1245421245421,2.535827231342245,2.567723058425266,42.01171875
5567,92.88817640587574,26.043878087921684,31.268036838244903,31.268036838244903,,3977,4.8559218559218555,578.4963369963369,1578,1.9267399267399268,141.31593406593407,2.5371565932617473,2.566840127845831,41.8359375
5600,90.81656492477543,27.26506528448236,30.02626525919249,30.02626525919249,,3938,4.808302808302808,571.389194139194,1637,1.9987789987789988,152.06776556776558,2.5528473750572123,2.566840127845831,40.78125
5633,87.57331752669492,30.92100637702136,28.622707387859315,28.622707387859315,,3851,4.702075702075702,555.5347985347986,1683,2.0549450549450547,160.45054945054943,2.5550123749559437,2.575999493477086,39.462890625
5667,85.29386399261946,33.87736668692437,27.667461406951553,27.667461406951553,,3772,4.605616605616605,541.1382783882783,1772,2.163614163614164,176.66941391941396,2.5550123749559437,2.5897156939817654,38.408203125
5700,81.75083389580541,36.953482793042156,25.43592102644289,25.43592102644289,,3677,4.48962148962149,523.8260073260072,1857,2.2673992673992673,192.15934065934064,2.577804980337321,2.5969831604757756,36.2109375
5733,78.44162635161209,40.58445217729067,22.274216093009926,22.274216093009926,,3592,4.385836385836386,508.3360805860806,1963,2.3968253968253967,211.47619047619045,2.601899872704968,2.5969831604757756,33.046875
5767,78.16638295359643,42.02089415765752,21.033408433086045,21.033408433086045,,3481,4.25030525030525,488.1080586080586,2040,2.490842490842491,225.50824175824175,2.6278585149362863,2.6439056253816218,31.2890625
5801,76.76944416702109,45.10112039561789,18.359261025824406,18.359261025824406,,3407,4.15995115995116,474.62271062271066,2135,2.606837606837607,242.82051282051282,2.670172392982683,2.6653768430987737,28.30078125
5833,75.32619473376732,45.82872731177468,15.65325742373659,15.65325742373659,,3349,4.089133089133089,464.0531135531135,2213,2.702075702075702,257.0347985347985,2.670172392982683,2.6998814157323014,25.13671875
5867,73.09619165287991,46.12723578711262,14.023614227609468,14.023614227609468,,3279,4.003663003663004,451.2967032967033,2298,2.8058608058608057,272.5247252747252,2.6873669165479077,2.6998814157323014,22.763671875
5900,73.94334537312534,45.81920348178506,13.321474950376354,13.321474950376354,,3233,3.9474969474969472,442.91391941391936,2341,2.858363858363858,280.3608058608058,2.7277649118864935,2.7291020401439385,21.181640625
5933,73.9789275705348,45.83420496204258,12.307646682849835,12.307646682849835,,3230,3.9438339438339436,442.36721611721606,2339,2.8559218559218555,279.99633699633694,2.7242839800758696,2.729235469621334,19.423828125
5967,75.19075635546157,44.2820004606708,13.608170160790994,13.608170160790994,,3220,3.9316239316239314,440.5448717948717,2346,2.864468864468864,281.27197802197793,2.7242839800758696,2.7472080972819564,19.6875
6000,75.33864095731964,44.01907693919413,15.30884857972799,15.30884857972799,,3200,3.907203907203907,436.9001831501831,2332,2.847374847374847,278.72069597069594,2.7352624030344326,2.7472080972819564,20.56640625
6033,74.5674495897546,44.73552733032277,14.840139442161014,14.840139442161014,,3216,3.9267399267399266,439.815934065934,2327,2.841269841269841,277.80952380952374,2.7364635331387843,2.734195703193207,19.86328125
6067,75.70287832559563,43.83534630209688,15.600482243481707,15.600482243481707,,3218,3.929181929181929,440.1804029304029,2323,2.836385836385836,277.080586080586,2.7300416224359743,2.742000819231449,20.21484375
6100,76.20372663911625,43.449615260404265,15.997711058906756,15.997711058906756,,3235,3.9499389499389497,443.2783882783882,2301,2.8095238095238093,273.0714285714285,2.7300416224359743,2.7349311269995917,20.390625
6133,77.84102687560066,42.684901170109946,16.928898622204056,16.928898622204056,,3271,3.993894993894994,449.83882783882785,2274,2.7765567765567765,268.1510989010989,2.719146136766452,2.7349311269995917,21.09375
6167,80.46721240563974,41.75236347789317,19.176099853246203,19.176099853246203,,3308,4.039072039072039,456.58150183150184,2246,2.7423687423687424,263.0485347985348,2.7148264962741724,2.737212966017777,23.02734375
6200,81.28370295086334,40.28516263959914,19.896287335465615,19.896287335465615,,3369,4.113553113553113,467.6978021978021,2209,2.697191697191697,256.3058608058608,2.7146136371648737,2.733379101363125,23.90625
6233,85.21764317437018,38.08550299362049,21.305741231854746,21.305741231854746,,3429,4.186813186813187,478.63186813186815,2163,2.641025641025641,247.9230769230769,2.7146136371648737,2.73866927957712,25.400390625
6267,87.20237450407151,36.313915163373196,23.015210982897756,23.015210982897756,,3469,4.235653235653236,485.92124542124543,2094,2.5567765567765566,235.34890109890105,2.707522833896769,2.7444851377085353,27.24609375
6300,88.92477138015799,34.2150102067761,24.380055547533615,24.380055547533615,,3530,4.310134310134311,497.03754578754587,2048,2.5006105006105006,226.9661172161172,2.693318919964822,2.7444851377085353,28.916015625
6333,89.87405209700192,33.49732920837866,25.679714945821573,25.679714945821573,,3577,4.367521367521368,505.6025641025641,1982,2.42002442002442,214.93864468864464,2.671584289719994,2.729179642764376,30.5859375
6367,90.72757979094848,32.79177718192995,26.936661159598145,26.936661159598145,,3614,4.412698412698413,512.3452380952382,1929,2.3553113553113554,205.2802197802198,2.671584289719994,2.7018531650548594,32.255859375
6400,90.12735473072007,33.09055192142172,27.84964155616074,27.84964155616074,,3641,4.445665445665446,517.2655677655678,1888,2.3052503052503055,197.8086080586081,2.647011791256965,2.6815641223187554,33.662109375
