ms,valve_a_pct,valve_b_pct,q_des_csv,qdes,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
4133,100.0,37.16741489212432,-9.08682017213578,-0.32895191518422706,-0.32895191518422706,,4072,4.971916971916972,595.808608058608,2029,2.4774114774114775,223.503663003663,2.206386036502337,3.0312317497329713,-1.142578125
4167,100.0,36.98325365948965,-9.08682017213578,-0.11230451200930958,-0.11230451200930958,,4076,4.976800976800977,596.5375457875458,2030,2.4786324786324787,223.68589743589746,2.2060488386550365,3.0305541709510835,-1.0546875
4200,100.0,36.38321134536354,-9.08682017213578,0.009818797676047097,0.009818797676047097,,4092,4.996336996336996,599.4532967032967,2046,2.498168498168498,226.60164835164835,2.2060488386550365,3.0305541709510835,-1.0546875
4234,100.0,36.550602581436046,-9.08682017213578,0.13514085089595795,0.13514085089595795,,4086,4.989010989010989,598.3598901098901,2042,2.4932844932844933,225.8727106227106,2.2059982377816945,3.0311378623446226,-1.0546875
4267,100.0,36.44314303643609,-9.08682017213578,0.16342242102217241,0.16342242102217241,,4087,4.99023199023199,598.5421245421245,2039,2.4896214896214897,225.32600732600733,2.2059514279513373,3.03120374462525,-1.142578125
4300,100.0,36.21556978403463,-9.08682017213578,0.28252770811223726,0.28252770811223726,,4094,4.998778998778999,599.8177655677656,2042,2.4932844932844933,225.8727106227106,2.206226624249101,3.0308551494235965,-1.142578125
4333,100.0,36.21665414100779,-9.08682017213578,0.39082262219808683,0.39082262219808683,,4092,4.996336996336996,599.4532967032967,2032,2.481074481074481,224.0503663003663,2.206226624249101,3.0308551494235965,-1.142578125
4367,100.0,36.27058823730687,-9.08682017213578,0.5767228939311764,0.5767228939311764,,4088,4.9914529914529915,598.7243589743589,2013,2.4578754578754576,220.58791208791203,2.2068866809901477,3.0309210224871714,-1.0546875
4400,100.0,36.47141077429038,-9.08682017213578,0.8332694561871428,0.8332694561871428,,4080,4.981684981684982,597.2664835164835,2002,2.444444444444444,218.5833333333333,2.206284144440463,3.0299335107873824,-0.87890625
4433,100.0,36.09743121020488,-9.08682017213578,1.0590363018327125,1.0590363018327125,,4090,4.993894993894994,599.0888278388278,2002,2.444444444444444,218.5833333333333,2.206145364091615,3.028805004528763,-0.703125
4467,100.0,36.375733211506315,-9.08682017213578,1.1518038304428586,1.1518038304428586,,4078,4.979242979242979,596.9020146520146,1999,2.4407814407814405,218.03663003663,2.206145364091615,3.028805004528763,-0.615234375
4500,100.0,36.05129206794943,-9.08682017213578,1.1028160089291958,1.1028160089291958,,4086,4.989010989010989,598.3598901098901,1996,2.437118437118437,217.48992673992672,2.2073284823418846,3.027507965740664,-0.615234375
