ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg,qdes_esn
3433,90.06860486402107,33.885450952657166,13.286752348169404,,,3794,4.632478632478633,545.147435897436,1901,2.3211233211233213,200.17765567765568,2.6692887641897727,2.712666203601871,31.2890625
3467,89.99483082873518,33.988800741066925,13.286752348169404,,,3791,4.628815628815629,544.6007326007326,1891,2.308913308913309,198.3553113553114,2.6692887641897727,2.7116468687888102,31.2890625
3500,90.0634494578077,33.88506817498737,13.286752348169404,,,3791,4.628815628815629,544.6007326007326,1897,2.3162393162393164,199.44871794871796,2.6701434510866116,2.7115276370222023,31.201171875
3533,90.3337013585673,33.6276718952887,13.286752348169404,,,3798,4.637362637362638,545.8763736263736,1899,2.318681318681319,199.81318681318683,2.6690853913646664,2.7113833543182664,31.201171875
3567,89.83668280421172,34.10565202522596,13.286752348169404,,,3787,4.623931623931624,543.8717948717949,1893,2.3113553113553116,198.71978021978023,2.668525531575542,2.7113833543182664,31.201171875
3600,89.78217603303378,34.12162149919232,13.286752348169404,,,3788,4.625152625152626,544.0540293040293,1904,2.324786324786325,200.724358974359,2.668525531575542,2.7109076067542066,31.201171875
3633,89.50399221421954,34.28114389114438,13.286752348169404,,,3776,4.610500610500611,541.8672161172162,1919,2.343101343101343,203.45787545787547,2.6707289109876298,2.7110140430684972,30.849609375
3667,89.231963175742,34.41039401980161,13.286752348169404,,,3765,4.597069597069597,539.8626373626373,1930,2.3565323565323566,205.46245421245422,2.670367429105418,2.7134568153341236,30.498046875
3700,88.95098791526662,34.540726771260964,13.286752348169404,,,3752,4.581196581196581,537.4935897435896,1940,2.3687423687423688,207.28479853479854,2.6751681250243218,2.7134568153341236,30.234375
3733,88.8279697677316,34.54813415213663,13.286752348169404,,,3746,4.573870573870574,536.4001831501831,1951,2.382173382173382,209.28937728937728,2.6751681250243218,2.7141584856854033,29.970703125
3767,88.43943375029127,34.85674569266992,13.286752348169404,,,3732,4.556776556776557,533.848901098901,1946,2.376068376068376,208.3782051282051,2.676754698343291,2.715217893718817,29.794921875
3800,88.17062986123995,35.03324725582532,13.28472099086227,,,3725,4.548229548229548,532.57326007326,1955,2.387057387057387,210.018315018315,2.6762755251047063,2.7151710189573666,29.619140625
3833,86.00757874002355,37.74740656197287,11.143490810942328,,,3705,4.523809523809524,528.9285714285714,1953,2.3846153846153846,209.65384615384613,2.677679894950943,2.7151710189573666,29.35546875
3867,83.66742256139491,39.72295323250699,11.143490810942328,,,3660,4.468864468864469,520.728021978022,2008,2.4517704517704515,219.67673992673988,2.677679894950943,2.7161672165974684,29.00390625
3900,80.65017217405325,40.47636012917134,11.143490810942328,,,3590,4.383394383394384,507.97161172161174,2069,2.526251526251526,230.79304029304026,2.692776520132753,2.714839429907456,26.89453125
